proxy_start hostname=ganymede http=0.0.0.0:30860 registry=0.0.0.0:31860
registry_add role=decode http=10.1.0.3:33860 zmq=10.1.0.3:34860 tp_size=4
registry_add role=prefill http=10.1.0.5:32860 zmq=10.1.0.5:34860 tp_size=4
route count=0 request_id=___prefill_addr_10.1.0.5:34860___decode_addr_10.1.0.3:34860_cc36f6cad8b1466ea3e9543017d00b7f prefill_http=10.1.0.5:32860 decode_http=10.1.0.3:33860
clock_ack_publish node_group=ganymede seq=1 target_mhz=360 rc=0 observed_mhz=360
clock_ack_publish node_group=uranus seq=1 target_mhz=210 rc=0 observed_mhz=210
route count=1 request_id=___prefill_addr_10.1.0.5:34860___decode_addr_10.1.0.3:34860_b8b725de8e8c45c1844bd0854343ddfb prefill_http=10.1.0.5:32860 decode_http=10.1.0.3:33860
route count=2 request_id=___prefill_addr_10.1.0.5:34860___decode_addr_10.1.0.3:34860_4fdfae0d5f5f4c628e7c7eb75ee93d8d prefill_http=10.1.0.5:32860 decode_http=10.1.0.3:33860
route count=3 request_id=___prefill_addr_10.1.0.5:34860___decode_addr_10.1.0.3:34860_2cd1ba58075a481d9b178006d457d114 prefill_http=10.1.0.5:32860 decode_http=10.1.0.3:33860
route count=4 request_id=___prefill_addr_10.1.0.5:34860___decode_addr_10.1.0.3:34860_fccdcbc9fa9e462a96157277ea610dbd prefill_http=10.1.0.5:32860 decode_http=10.1.0.3:33860
route count=5 request_id=___prefill_addr_10.1.0.5:34860___decode_addr_10.1.0.3:34860_64b5aa2eea1d45db9f181ac14098be1a prefill_http=10.1.0.5:32860 decode_http=10.1.0.3:33860
route count=6 request_id=___prefill_addr_10.1.0.5:34860___decode_addr_10.1.0.3:34860_d191de85c6dd4f1a8f141385be88f98f prefill_http=10.1.0.5:32860 decode_http=10.1.0.3:33860
route count=7 request_id=___prefill_addr_10.1.0.5:34860___decode_addr_10.1.0.3:34860_e8340e35323444aba13a0e3b877ac914 prefill_http=10.1.0.5:32860 decode_http=10.1.0.3:33860
