path	size_bytes	mtime_unix_s
job.log	1050561	1788162540.616494
preflight.json	1280	1788160288.011698
binary_dvfs/xpyd_binary_dvfs_255339/binary_dvfs_audit.json	939	1788162479.504526
binary_dvfs/xpyd_binary_dvfs_255339/binary_search_decisions.csv	3758	1788162479.499526
binary_dvfs/xpyd_binary_dvfs_255339/frequency_grids.json	681	1788160719.068508
binary_dvfs/xpyd_binary_dvfs_255339/selected_frequencies.json	651	1788162479.502526
binary_dvfs/xpyd_binary_dvfs_255339/window_results.csv	26449	1788162479.496526
binary_dvfs/xpyd_binary_dvfs_255339/raw/actuator_actions.csv	4747	1788162479.501526
binary_dvfs/xpyd_binary_dvfs_255339/raw/capabilities.json	7805	1788160719.066508
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/audit.json	772	1788160768.690490
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/endpoint_summary.csv	1140	1788160768.700490
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/energy_summary.csv	556	1788160768.702490
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/metadata.json	2208	1788160722.864506
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/requests.csv	3099	1788160768.694489
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/routes.csv	2639	1788160768.697490
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/summary.json	10177	1788160768.687490
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/summary.md	969	1788160768.704489
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/D0/capability.json	902	1788160723.086506
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/D0/monitor.log	0	1788160722.875506
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/D0/samples.jsonl	248050	1788160768.523490
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/D0/stop.requested	5	1788160768.497490
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000001_before.prom	85841	1788160754.065495
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000002_periodic.prom	85841	1788160754.306495
binary_dvfs/xpyd_binary_dvfs_255339/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000003_periodic.prom	85854	1788160755.307494
